"Rank","Geographic Area","Census_2010","Estimates Base","Jul_1_2010","Jul_1_2011","Jul_1_2012","Jul_1_2013","Jul_1_2014","Jul_1_2015","Jul_1_2016","Jul_1_2017","Jul_1_2018","Jul_1_2019","latitude","longitude"
1,"New York city, New York","8,175,133",8175031,8190209,8272948,8346693,8396091,8433806,8463049,8469153,8437478,8390081,8336817,40.7127281,-74.0060152
2,"Los Angeles city, California","3,792,621",3793139,3795512,3820876,3851202,3881622,3909901,3938568,3963226,3975788,3977596,3979576,34.0536909,-118.242766
3,"Chicago city, Illinois","2,695,598",2695652,2697477,2708114,2719141,2725731,2727066,2724344,2716723,2711069,2701423,2693976,41.8755616,-87.6244212
4,"Houston city, Texas","2,099,451",2095517,2100280,2126032,2161593,2199391,2241826,2286908,2309544,2316750,2318573,2320268,29.7589382,-95.3676974
5,"Phoenix city, Arizona","1,445,632",1446691,1449038,1469796,1499274,1526491,1555445,1583690,1612199,1633560,1654675,1680992,33.4484367,-112.0741417
6,"Philadelphia city, Pennsylvania","1,526,006",1526012,1528283,1540466,1551824,1558313,1565460,1571065,1576051,1580601,1583592,1584064,39.9527237,-75.1635262
7,"San Antonio city, Texas","1,327,407",1326161,1332299,1357120,1383075,1408339,1435456,1464043,1487843,1511154,1530016,1547253,29.4246002,-98.4951405
8,"San Diego city, California","1,307,402",1301929,1305906,1319592,1336776,1355320,1375831,1387323,1402089,1412621,1421917,1423851,32.7174202,-117.1627728
9,"Dallas city, Texas","1,197,816",1197658,1200350,1218282,1242115,1258835,1279098,1301329,1323916,1342479,1341802,1343573,32.7762719,-96.7968559
10,"San Jose city, California","945,942",952528,954940,970369,983530,1001279,1014273,1025980,1030242,1032335,1028020,1021795,37.3361905,-121.890583
11,"Austin city, Texas","790,390",801829,806164,828459,854482,875003,901170,921114,939447,951553,962469,978908,30.2711286,-97.7436995
12,"Jacksonville city, Florida","821,784",821750,823114,829609,837013,842735,852494,865836,880520,892025,902437,911507,30.3321838,-81.655651
13,"Fort Worth city, Texas","741,206",744824,748441,764142,781046,796073,815057,835356,856177,874809,893216,909585,32.753177,-97.3327459
14,"Columbus city, Ohio","787,033",789018,790943,800607,812740,827797,841673,854950,866894,881694,890869,898553,39.9622601,-83.0007065
15,"Charlotte city, North Carolina","731,424",735607,738444,754829,773264,792047,807400,825668,843117,860002,872514,885708,35.2272086,-80.8430827
16,"San Francisco city, California","805,235",805184,805505,815650,828876,839572,850750,863010,871512,878040,880696,881549,37.7790262,-122.419906
17,"Indianapolis city, Indiana","820,445",820457,821579,827664,835499,844696,850164,853714,859049,863478,870960,876384,39.7683331,-86.1583502
18,"Seattle city, Washington","608,660",608661,610630,622694,635928,653588,670109,687386,709631,728661,742235,753675,47.6038321,-122.3300624
19,"Denver city, Colorado","600,158",599825,603359,620530,635163,649391,664582,683285,696159,704961,716265,727211,39.7392364,-104.9848623
20,"Washington city, District of Columbia","601,723",601767,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749,38.8949924,-77.0365581
21,"Boston city, Massachusetts","617,594",617792,621048,630505,642955,653002,662855,670491,679848,687788,691147,692600,42.3602534,-71.0582912
22,"El Paso city, Texas","649,121",648245,650671,664404,674941,674808,677235,676242,679955,681343,679875,681728,31.7754152,-106.464634
23,"Nashville, Tennessee","601,222",603438,604589,612518,625550,635999,645259,655498,661765,663587,667006,670820,36.2206081,-86.6956373315443
24,"Detroit city, Michigan","713,777",713898,711131,705118,700183,691868,682609,679410,677143,674631,672977,670031,42.3315509,-83.0466403
25,"Oklahoma City city, Oklahoma","579,999",580462,582516,590947,600971,612061,621639,632172,639924,642822,647912,655057,35.4729886,-97.5170536
26,"Portland city, Oregon","583,776",583793,585429,595451,604264,609890,620510,631366,642720,647924,650837,654741,45.5202471,-122.6741949
27,"Las Vegas city, Nevada","583,756",584489,584576,586606,593275,599551,607976,617487,626538,635262,643228,651319,36.1672559,-115.148516
28,"Memphis city, Tennessee","646,889",651873,652326,655341,658786,657146,654990,654106,652548,650878,651104,651073,35.1490215,-90.0516285
29,"Louisville, Kentucky","597,337",595710,596482,599920,604246,610471,612634,615372,617583,619728,618495,617638,38.2542376,-85.759407
30,"Baltimore city, Maryland","620,961",620770,620915,620410,622895,622391,623587,622522,616226,610481,602443,593490,39.3053485,-76.6990587
